name,Latitude,Longitude
Government Dispensary,28.6098281,77.3377451
Government Hospital,28.668361,77.277492
"Government Hospital, Jawalapuri",28.674566,77.080093
"Government Maternity Hospital, Laxmi Nagar",28.63508697,77.27811018
Governmentt Eye Hospital,28.6697864,77.0646877
Govt Dispensory,28.5866431,77.0573761
Goyal Hospital,28.6616551,77.0853346
"Goyal Hospital, Nilothi",28.6527464,77.0707603
Goyal MRI & Diagnostic Centre,28.5647144,77.1893283
Gupta Nursing Home,28.6759254,77.2876085
Gupta Ultrasound & Heart Care Centre,28.67124684,77.11237817
Guru Gobind Singh Hospital,28.65386506,77.10715042
Guru Harkishan Hospital,28.5821004,77.2641583
Guru Harkrishan Hospital,28.581479,77.261959
Guru Nanak Eye Hospital,28.63830246,77.23223465
Guru Ram Dass Charitable Hospital,28.6376807,77.1125936
Gyanchandra Joshi Ayurvedic Hospital,28.662511,77.144284
HAH century hospital,28.5128503,77.2513477
Hakeem Abdul Hameed Centenary Hospital,28.5149753,77.2519382
Hans Charitable Hospital,28.7002703,77.2083671
Hardik Hospital,28.6367362,77.0532022
Healing Touch Hospital,28.5427709,77.2073754
Hindu Rao Hospital,28.67600798,77.21213728
Hitaishi Hospital,28.7057013,77.1225618
HOD Ashok Vihar - House Of Diagnostics,28.6956326,77.1874885
HOD Green Park - House Of Diagnostics,28.56048247,77.20749133
HOD Karkardooma - House Of Diagnostics,28.6470935,77.3020999
HOD Rajouri Garden - House Of Diagnostics,28.6484714,77.1204602
Holistic Skin Care,28.51927657,77.21437905
Holy Family Hospital,28.56207177,77.27607174
IG ESI Hospital,28.6665856,77.3111297
INDIAN BAGHEERA VETERINARY HOSPITAL,28.6944964,77.2921256
Indian Cancer Institute,28.5483823,77.2419692
Indian Spinal Injuries Centre,28.53239436,77.141906
Indira Gandhi Hospital,28.57995453,77.06200899
Indiraj Hospital,28.85238226,77.08480147
IndraGandhi ESI HOSPITAL,28.6665679,77.3110943
Indraprastha Apollo Hospital,28.5408389,77.2834999
Indraprastha Apollo Hospital,28.5408159,77.2835195
Indus Valley Hospitals,28.6136472,76.9909557
Infirmary,28.6414623,77.299997
Injury Centre,28.6063225,77.0526152
Institute of Brain and Spine,28.5656044,77.2442543
Iqbal Faizy Hospital,28.5561387,77.2893706
Ishan Hospital,28.7336313,77.1397543
Jackson Hospital & Research Centre,28.7375325,77.121294
Jag Pravesh Chandra Hospital,28.6764665,77.262937
Jai Maa Tara Hospital,28.6738845,77.1800003
Jain Muni Roshan Lal Charitable Hospital,28.6751133,77.162161
Jainar Hospital,28.660601,77.0907507
Jaipur Golden,28.69772725,77.1097813
JANAKPURI SUPER SPECIALITY HOSPITAL,28.62055693,77.08988618
Janki Hospital,28.6058663,76.987173
JankiDas Kapur Memorial Hospital,28.649171,77.151169
Janta Hospital,28.8416834,77.077561
Jasrotia Hospital,28.6237693,77.1157209
Jay Hospital,28.6085349,76.9861235
Jeevan Anmol Hospital,28.60576846,77.29543489
Jeevan Daan Hospital,28.698019,77.054191
Jeevan Jyoti Hospital,28.5223738,77.2855634
Jeevan Jyoti Hospital,28.6190592,77.0466915
Jeevandan Hospital,28.6952239,77.0549322
Jeewan Hospital,28.643625,77.188255
Jhamb Maternity and Medical Centre,28.7090339,77.1540084
Jivodaya Hospital,28.69246115,77.17233235
Jiwan Charitable Hospital,28.6897352,77.0858096
JNU Health Centre,28.5495066,77.1676082
jp memorial,28.6845119,77.3296536
Jyoti Memorial Charitable Hospital,28.6121935,76.98839369
K R Gangwal Hospital,28.8576922,77.1070231
K.R. Hospital,28.5074677,77.1848394
Kailash Deepak Hospital,28.64497398,77.30131541
Kalindi Hospital,28.5408332,77.2958778
Kalpavriksh Super Speciality Center,28.5978809,77.0351429
Kalra Hospital,28.6551825,77.1387304
Kalyan Nursing Home,28.6814958,77.3283939
Kalyani Hospital,28.6132186,76.9876459
Kamaal Nursing Home,28.6798998,77.2718597
Kamlesh Nursing Home,28.6699638,77.0886996
Kanojia Hospital,28.6262562,77.012034
Kanta Sethi Hospital,28.7012483,77.0988184
Karala Government Hospital,28.7321173,77.037425
Karuna Sindhu Charitable Hospital,28.6557378,77.0163489
Kasturba Hospital,28.649831,77.2359282
Kasturba Hospital,28.6485447,77.2385223
Kavita Poly Clinic & Hospital,28.7261791,77.2704213
Kaya Kalp Hospital,28.7305663,77.2100401
Kelvin Diagnostics,28.6625223,77.1417334
Kesar Hospital,28.7059502,77.1644781
Kesar Hospital,28.695522,77.0591
Kesar Nursing Home Dabri,28.6089466,77.1008845
Khadija National Hospital,28.6437984,77.2381596
Khetarpal Hospital,28.652562,77.130018
Khushi Hospital,28.607392,77.0491427
Kiran Das Charitable Hospital,28.6524161,77.0617704
KK SURGICAL CENTRE,28.6925868,77.292098
Konarc Hospital,28.6773715,77.0638665
Krypton Global Health,28.638646,77.0732307
Kuber Hospital,28.6900528,77.1357109
Kukreja Hospital,28.6092197,77.2948507
Kukreja Hospital,28.696354,77.053765
Kumar Medical & Maternity Centre,28.7041641,77.160742
Kunj Eye Hospital,28.500025,77.237142
L.D. Hospital,28.5004025,77.3232801
Lajpat Nagar Colony Hospital,28.56913848,77.24484285
Lal Bahadur Shastri Hospital,28.6186316,77.31365385
Lal Bahadur Shastri Hospital,28.6178479,77.31147621
Lal Hospital,28.7025443,77.2832977
Leekha Nursing Home,28.5520278,77.2080381
Lifeline Hospital,28.5941071,77.0426925
Lions Kidney Hospitals,28.571321,77.274224
Lotus Hospital,28.626739,77.110763
Luv Kush Hospital,28.724975,77.2687617
