Latitude,Longitude
28.679868,77.2029622
28.6235381,77.2931452
28.6150785,77.3194955
28.60079,77.3196071
28.6009379,77.3197323
28.6005166,77.3193608
28.6010118,77.3214151
28.5995821,77.3195683
28.5999286,77.3190255
28.6003739,77.3166491
28.6007789,77.3170329
28.6005739,77.3168228
28.6003248,77.3167679
28.6006192,77.3169773
28.6127113,77.3061896
28.621926,77.2884672
28.6194033,77.2887214
28.6206762,77.2892802
28.6193734,77.2887361
28.6218563,77.2887254
28.6195602,77.2892239
28.6196759,77.2894542
28.619646,77.2894689
28.6194618,77.2889745
28.6202026,77.2897802
28.6195901,77.2892092
28.6192376,77.2882952
28.6187306,77.2869137
28.6189569,77.2876426
28.6187007,77.2869284
28.6216527,77.2886464
28.6188096,77.2871729
28.6192984,77.288538
28.6190758,77.287866
28.6215376,77.2889212
28.621195,77.2890837
28.6189024,77.2874115
28.6216927,77.288826
28.6210795,77.289025
28.6193283,77.2885233
28.6189868,77.2876279
28.6189628,77.2873256
28.6207283,77.2894497
28.6213807,77.2890207
28.6204943,77.2893941
28.6207886,77.2894138
28.6209832,77.2892193
28.6192077,77.2883099
28.6194917,77.2889598
28.620897,77.2891107
28.6205221,77.2895732
28.6197374,77.2897001
28.620258,77.2897525
28.6190459,77.2878807
28.620301,77.2895336
28.6187797,77.2871876
28.6197673,77.2896854
28.6198891,77.2897642
28.6188725,77.2874262
28.6194011,77.2884603
28.7087162,77.1914637
28.5680327,77.2394072
28.5473954,77.2539309
28.5474227,77.253918
28.7058506,77.1901594
28.7056123,77.1907369
28.6280846,77.2453122
28.6280183,77.2453198
28.6947313,77.2153486
28.6874774,77.2140601
28.6877434,77.2139691
28.6871166,77.2137354
28.6871796,77.2137529
28.6880864,77.2140047
28.6875702,77.2140969
28.6877743,77.2138651
28.6872451,77.2138546
28.6878177,77.2144474
28.6878397,77.2138949
28.6876612,77.2141381
28.6876974,77.2140176
28.6871741,77.2136742
28.6879824,77.2139697
28.6874262,77.2142613
28.6887434,77.209488
28.6875326,77.2143049
28.6876301,77.2143478
28.6873383,77.2142215
28.6871031,77.2140962
28.68791,77.2112546
28.688483,77.2094027
28.6876279,77.211953
28.6877217,77.2143921
28.6872448,77.2141715
28.6880029,77.2111845
28.6879477,77.2145062
28.6878595,77.2113771
28.6876199,77.2123527
28.6874165,77.212978
28.6875806,77.2121126
28.6873084,77.2133862
28.6879223,77.2114097
28.6877489,77.2116604
28.6878081,77.2115224
28.6876906,77.2118359
28.6880815,77.2109678
28.6885216,77.2098315
28.6883345,77.210126
28.6880718,77.2108405
28.6879697,77.2110975
28.6888133,77.2096507
28.6885718,77.2093977
28.688014,77.2109685
28.6884234,77.2098882
28.6880354,77.2110845
28.6883316,77.2122737
28.6882588,77.2103145
28.6883162,77.2103714
28.6882052,77.2106549
28.6882681,77.2105128
28.6881185,77.2106976
28.6885856,77.2097742
28.6881507,77.2107854
28.6879387,77.2119766
28.6877656,77.2120092
28.688432,77.2100718
28.6881968,77.2104342
28.6881675,77.2105735
28.6880982,77.2120559
28.6885032,77.2123595
28.6881036,77.2109155
28.6886725,77.2124394
28.6879841,77.2120991
28.6881281,77.2121694
28.6884499,77.2122391
